State,VehicleType,EmissionStandard,RegistrationCount
JH,Transport,BHARAT STAGE II,1.0
JH,Non Transport,BHARAT STAGE IV,15.0
JH,Non Transport,BHARAT  TREM  STAGE III,1.0
JH,Non Transport,TREM STAGE IV,1.0
JH,Non Transport,BHARAT STAGE III,55.0
JH,Non Transport,BHARAT STAGE III/IV,27.0
JH,Non Transport,NOT AVAILABLE,132182.0
JH,Non Transport,BHARAT STAGE VI,1363.0
JH,Non Transport,BHARAT STAGE II,1.0
JK,Transport,NOT AVAILABLE,35988.0
JK,Transport,BHARAT STAGE VI,4.0
JK,Transport,NOT APPLICABLE,1.0
JK,Non Transport,NOT AVAILABLE,50851.0
JK,Non Transport,BHARAT STAGE VI,649.0
JK,Non Transport,NOT APPLICABLE,1.0
KA,Transport,BHARAT STAGE IV,3940.0
KA,Transport,BHARAT STAGE I,2.0
KA,Transport,BHARAT STAGE III,619.0
KA,Transport,NOT AVAILABLE,80170.0
KA,Transport,BHARAT STAGE VI,831.0
KA,Transport,BHARAT STAGE II,24.0
KA,Transport,NOT APPLICABLE,3.0
KA,Non Transport,EURO 6,1.0
KA,Non Transport,BHARAT STAGE IV,14763.0
KA,Non Transport,BHARAT STAGE I,6.0
KA,Non Transport,BHARAT STAGE III,3184.0
KA,Non Transport,BHARAT STAGE III/IV,1.0
KA,Non Transport,NOT AVAILABLE,846436.0
KA,Non Transport,BHARAT STAGE VI,25550.0
KA,Non Transport,BHARAT STAGE II,459.0
KA,Non Transport,NOT APPLICABLE,7.0
KL,Transport,BHARAT STAGE IV,7.0
KL,Transport,NOT AVAILABLE,28100.0
KL,Transport,BHARAT STAGE VI,227.0
KL,Transport,NOT APPLICABLE,1.0
KL,Non Transport,BHARAT STAGE IV,149.0
KL,Non Transport,BHARAT STAGE I,1.0
KL,Non Transport,BHARAT STAGE III  CEV,1.0
KL,Non Transport,BHARAT STAGE III,12.0
KL,Non Transport,BHARAT STAGE III/IV,2.0
KL,Non Transport,NOT AVAILABLE,404346.0
KL,Non Transport,BHARAT STAGE VI,17786.0
KL,Non Transport,BHARAT STAGE II,1.0
KL,Non Transport,NOT APPLICABLE,11.0
LA,Transport,NOT AVAILABLE,22.0
LA,Non Transport,NOT AVAILABLE,101.0
LA,Non Transport,BHARAT STAGE VI,12.0
LD,Transport,NOT AVAILABLE,13.0
LD,Non Transport,NOT AVAILABLE,189.0
MH,Transport,EURO 3,3.0
MH,Transport,BHARAT STAGE IV,31.0
MH,Transport,BHARAT STAGE III,24.0
MH,Transport,BHARAT STAGE III/IV,1.0
MH,Transport,NOT AVAILABLE,81038.0
MH,Transport,BHARAT STAGE VI,1190.0
MH,Transport,BHARAT STAGE II,1.0
MH,Non Transport,BHARAT STAGE III  CEV,1.0
MH,Non Transport,CEV STAGE IV,10.0
MH,Non Transport,TREM STAGE IV,3.0
MH,Non Transport,BHARAT STAGE III,35.0
MH,Non Transport,BHARAT STAGE III/IV,2.0
MH,Non Transport,NOT AVAILABLE,1111644.0
MH,Non Transport,BHARAT STAGE II,4.0
MH,Non Transport,EURO 6,18.0
MH,Non Transport,EURO 3,3.0
MH,Non Transport,BHARAT STAGE IV,47.0
MH,Non Transport,BHARAT  TREM  STAGE III,1.0
MH,Non Transport,EURO 4,1.0
MH,Non Transport,BHARAT STAGE VI,35038.0
ML,Transport,NOT AVAILABLE,1610.0
ML,Transport,BHARAT STAGE VI,1.0
ML,Transport,NOT APPLICABLE,1.0
ML,Non Transport,NOT AVAILABLE,2491.0
ML,Non Transport,BHARAT STAGE VI,175.0
ML,Non Transport,NOT APPLICABLE,3.0
MN,Transport,BHARAT STAGE III/IV,1.0
MN,Transport,NOT AVAILABLE,2587.0
MN,Non Transport,BHARAT STAGE IV,1.0
MN,Non Transport,BHARAT STAGE III/IV,1.0
MN,Non Transport,NOT AVAILABLE,4020.0
MN,Non Transport,BHARAT STAGE VI,91.0
MP,Transport,BHARAT STAGE IV,62.0
MP,Transport,BHARAT STAGE III,4.0
MP,Transport,NOT AVAILABLE,148992.0
MP,Transport,BHARAT STAGE VI,90.0
MP,Non Transport,BHARAT STAGE IV,168.0
MP,Non Transport,EURO 4,1.0
MP,Non Transport,BHARAT STAGE III,7.0
MP,Non Transport,NOT AVAILABLE,482276.0
MP,Non Transport,BHARAT STAGE VI,3912.0
MZ,Transport,EURO 3,1.0
MZ,Transport,BHARAT STAGE VI,2.0
MZ,Transport,BHARAT STAGE II,1.0
MZ,Non Transport,EURO 3,1.0
MZ,Non Transport,BHARAT STAGE III,1.0
MZ,Non Transport,NOT AVAILABLE,2420.0
MZ,Non Transport,BHARAT STAGE VI,55.0
MZ,Non Transport,BHARAT STAGE II,3.0
NL,Transport,BHARAT STAGE IV,1.0
NL,Transport,NOT AVAILABLE,7.0
NL,Transport,BHARAT STAGE VI,1.0
NL,Non Transport,BHARAT STAGE IV,1.0
NL,Non Transport,NOT AVAILABLE,113.0
NL,Non Transport,BHARAT STAGE VI,149.0
OD,Transport,BHARAT STAGE I,325.0
OD,Transport,BHARAT STAGE III  CEV,29.0
OD,Transport,TREM STAGE IV,27.0
OD,Transport,BHARAT STAGE III,3624.0
OD,Transport,BHARAT  TREM  STAGE III A,315.0
OD,Transport,BHARAT STAGE III/IV,249.0
OD,Transport,BHARAT  TREM  STAGE III B,5.0
OD,Transport,NOT AVAILABLE,3689520.0
OD,Transport,EURO 1,836.0
OD,Transport,EURO 2,4833.0
OD,Transport,BHARAT STAGE II,1357.0
OD,Transport,NOT APPLICABLE,121.0
OD,Transport,EURO 6,3.0
OD,Transport,EURO 3,6279.0
OD,Transport,CEV STAGE V,1.0
OD,Transport,BHARAT STAGE IV,22113.0
OD,Transport,EURO 4,1284.0
OD,Transport,BHARAT  TREM  STAGE III,475.0
OD,Transport,TREM STAGE V,2.0
OD,Transport,BHARAT STAGE VI,6985.0
OD,Non Transport,BHARAT STAGE I,389.0
OD,Non Transport,BHARAT STAGE III  CEV,145.0
OD,Non Transport,TREM STAGE IV,34.0
OD,Non Transport,CEV STAGE IV,10.0
OD,Non Transport,BHARAT STAGE III,7783.0
OD,Non Transport,BHARAT  TREM  STAGE III A,354.0
OD,Non Transport,BHARAT STAGE III/IV,262.0
OD,Non Transport,BHARAT  TREM  STAGE III B,5.0
OD,Non Transport,NOT AVAILABLE,9802503.0
OD,Non Transport,EURO 1,1100.0
OD,Non Transport,EURO 2,5872.0
OD,Non Transport,BHARAT STAGE II,2529.0
OD,Non Transport,NOT APPLICABLE,198.0
OD,Non Transport,EURO 6,27.0
OD,Non Transport,EURO 3,8015.0
OD,Non Transport,CEV STAGE V,10.0
OD,Non Transport,BHARAT STAGE IV,42089.0
OD,Non Transport,EURO 4,1486.0
OD,Non Transport,BHARAT  TREM  STAGE III,481.0
OD,Non Transport,TREM STAGE V,2.0
OD,Non Transport,BHARAT STAGE VI,241274.0
PB,Transport,BHARAT STAGE IV,17.0
PB,Transport,BHARAT STAGE III  CEV,6.0
PB,Transport,BHARAT  TREM  STAGE III A,1.0
PB,Transport,BHARAT STAGE III/IV,1.0
PB,Transport,NOT AVAILABLE,72521.0
PB,Transport,BHARAT STAGE VI,222.0
PB,Non Transport,BHARAT STAGE IV,19.0
PB,Non Transport,EURO 4,1.0
PB,Non Transport,BHARAT STAGE III  CEV,7.0
PB,Non Transport,BHARAT STAGE III,1.0
PB,Non Transport,BHARAT  TREM  STAGE III A,1.0
PB,Non Transport,BHARAT STAGE III/IV,2.0
PB,Non Transport,NOT AVAILABLE,173076.0
PB,Non Transport,EURO 1,1.0
PB,Non Transport,BHARAT STAGE VI,10581.0
PY,Transport,NOT AVAILABLE,1383.0
PY,Transport,BHARAT STAGE VI,74.0
PY,Non Transport,BHARAT STAGE IV,3.0
PY,Non Transport,BHARAT STAGE I,3.0
PY,Non Transport,NOT AVAILABLE,18793.0
PY,Non Transport,EURO 1,1.0
PY,Non Transport,BHARAT STAGE VI,1047.0
PY,Non Transport,BHARAT STAGE II,4.0
RJ,Transport,BHARAT STAGE I,92.0
RJ,Transport,BHARAT STAGE III  CEV,1.0
RJ,Transport,TREM STAGE IV,1.0
RJ,Transport,BHARAT STAGE III,235.0
RJ,Transport,BHARAT STAGE III/IV,3.0
RJ,Transport,NOT AVAILABLE,149780.0
RJ,Transport,EURO 2,11.0
RJ,Transport,BHARAT STAGE II,307.0
RJ,Transport,EURO 6,1.0
RJ,Transport,EURO 3,61.0
RJ,Transport,EURO 4,144.0
RJ,Transport,BHARAT STAGE IV,59.0
RJ,Transport,BHARAT STAGE VI,181.0
RJ,Non Transport,BHARAT STAGE I,95.0
RJ,Non Transport,BHARAT STAGE III  CEV,1.0
RJ,Non Transport,TREM STAGE IV,3.0
RJ,Non Transport,BHARAT STAGE III,648.0
RJ,Non Transport,BHARAT STAGE III/IV,5.0
RJ,Non Transport,NOT AVAILABLE,541890.0
RJ,Non Transport,EURO 2,229.0
RJ,Non Transport,BHARAT STAGE II,353.0
RJ,Non Transport,NOT APPLICABLE,2.0
RJ,Non Transport,EURO 6,1.0
RJ,Non Transport,EURO 3,195.0
RJ,Non Transport,EURO 4,153.0
RJ,Non Transport,BHARAT STAGE IV,82.0
RJ,Non Transport,BHARAT STAGE VI,6658.0
SK,Transport,NOT AVAILABLE,4.0
SK,Non Transport,NOT AVAILABLE,37.0
SK,Non Transport,BHARAT STAGE VI,34.0
TN,Transport,EURO 3,2.0
TN,Transport,CEV STAGE V,1.0
TN,Transport,BHARAT STAGE IV,9.0
TN,Transport,BHARAT STAGE III,14.0
TN,Transport,NOT AVAILABLE,46971.0
TN,Transport,BHARAT STAGE VI,149.0
TN,Transport,BHARAT STAGE II,4.0
TN,Transport,NOT APPLICABLE,18.0
TN,Non Transport,EURO 3,2.0
TN,Non Transport,CEV STAGE V,1.0
TN,Non Transport,BHARAT STAGE IV,37.0
TN,Non Transport,BHARAT STAGE III,14.0
TN,Non Transport,NOT AVAILABLE,664543.0
TN,Non Transport,BHARAT STAGE VI,17684.0
TN,Non Transport,BHARAT STAGE II,4.0
TN,Non Transport,NOT APPLICABLE,19.0
TR,Transport,BHARAT STAGE IV,1.0
TR,Transport,NOT AVAILABLE,41480.0
TR,Non Transport,BHARAT STAGE IV,1.0
TR,Non Transport,NOT AVAILABLE,43451.0
TR,Non Transport,BHARAT STAGE VI,54.0
TS,Transport,BHARAT STAGE I,325.0
TS,Transport,BHARAT STAGE III  CEV,29.0
TS,Transport,TREM STAGE IV,27.0
TS,Transport,BHARAT STAGE III,3624.0
TS,Transport,BHARAT  TREM  STAGE III A,315.0
TS,Transport,BHARAT STAGE III/IV,249.0
TS,Transport,BHARAT  TREM  STAGE III B,5.0
TS,Transport,NOT AVAILABLE,3689520.0
TS,Transport,EURO 1,836.0
TS,Transport,EURO 2,4833.0
TS,Transport,BHARAT STAGE II,1357.0
TS,Transport,NOT APPLICABLE,121.0
TS,Transport,EURO 6,3.0
TS,Transport,EURO 3,6279.0
TS,Transport,CEV STAGE V,1.0
TS,Transport,BHARAT STAGE IV,22113.0
TS,Transport,EURO 4,1284.0
TS,Transport,BHARAT  TREM  STAGE III,475.0
TS,Transport,TREM STAGE V,2.0
TS,Transport,BHARAT STAGE VI,6985.0
TS,Non Transport,BHARAT STAGE I,389.0
TS,Non Transport,BHARAT STAGE III  CEV,145.0
TS,Non Transport,TREM STAGE IV,34.0
TS,Non Transport,CEV STAGE IV,10.0
TS,Non Transport,BHARAT STAGE III,7783.0
TS,Non Transport,BHARAT  TREM  STAGE III A,354.0
TS,Non Transport,BHARAT STAGE III/IV,262.0
TS,Non Transport,BHARAT  TREM  STAGE III B,5.0
TS,Non Transport,NOT AVAILABLE,9802503.0
TS,Non Transport,EURO 1,1100.0
TS,Non Transport,EURO 2,5872.0
TS,Non Transport,BHARAT STAGE II,2529.0
TS,Non Transport,NOT APPLICABLE,198.0
TS,Non Transport,EURO 6,27.0
TS,Non Transport,EURO 3,8015.0
TS,Non Transport,CEV STAGE V,10.0
TS,Non Transport,BHARAT STAGE IV,42089.0
TS,Non Transport,EURO 4,1486.0
TS,Non Transport,BHARAT  TREM  STAGE III,481.0
TS,Non Transport,TREM STAGE V,2.0
TS,Non Transport,BHARAT STAGE VI,241274.0
UK,Transport,EURO 4,122.0
UK,Transport,BHARAT STAGE IV,18.0
UK,Transport,BHARAT STAGE I,3.0
